,reviews_classified_all
186,sem palavras para definir a minha indignacao com esse aplicativo simplesmente e quase impossivel acessar a conta por ele cheio de erros e as vezes fica carregando e nao abre a conta
187,nao sei como um banco desse porte da tanta dor de cabeca mal consigo acessar o aplicativo fica saindo direto da erro com frequencia
188,esta horrivel esse aplicativo pois nao estou conseguindo acessar o proprio
189,aplicativo esta inviavel nao conseguimos fazer login por senha nem por biometria horrivel
190,cara de verdade dao jeito nessa oscilacao desse aplicativo muitas vezes nao consigo fazer login e nao e internet e tambem quando vamos fazer algumas transacoes ele dar erro assim que bota a senha poderiam melhorar a instabilidade frequente ja perdi as contas de quantas vezes eu vou fazer login e aparece “sistema temporariamente indisponivel” muitas vezes preciso realizar pagamentos de fornecedores e isso acontece quebra minhas pernas precisa ser melhorado com urgencia pois a caixa e um otimo banco mas o aplicativo nao facilita nada
191,o aplicativo esta instavel voce conta em poder acessar a sua conta para fazer pagamentos e transferencias ou seja resolver a sua vida financeira mas nao da para contar com esse aplicativo a biometria toda hora para de funcionar uso aplicativo de outro banco que nunca da problema entao o problema e a incompetencia mesmo
192,aplicativo com instabilidade frequentemente fecha sozinho sai da conta nao acessa com biometria se precisar fazer alguma transacao com urgencia pode esquecer
193,vive fora do ar ja faz 3 dias que tento acessar pois preciso pagar minhas contas e nao consigo entrar no aplicativo melhorem pior aplicativo no mundo de banco
194,apos a ultima atualizacao o aplicativo fica estabelecendo conexao segura e simplesmente nao acessa obs ja tentei acessar usando o 4g e ja tentei pelo wifi de minha casa sem exito
195,aplicativo da caixa simplesmente encontrase indisponivel para acesso a conta em quase totalidade do dia
196,aplicativo nao entra so fica dando erro que nao pode acessar e tente mais tarde quando entra nao aparece opcao de nada e volta para tela de erro se precisar fazer operacao financeira com urgencia esquece e impossivel
197,a caixa lidera o ranking de pior sistema bancario do brasil como pode voce nao conseguir acessar sua conta a duas ou 3 vezes por semana chega ser inacreditavel o quao ruim e esse sistema
198,aplicativo horrivel nunca funciona sempre instavel tem que ficar colocando senha 56 vezes pra conseguir entrar mais nao entra
199,o aplicativo da muito erro toda hora nao consigo acessar a conta
200,um lixo o aplicativo vive instavel tem dias que nem da para acessar a conta ai voce precisa sair da sua casa e ir em uma agencia resolver coisas simples coisas que esse lixo de aplicativo deveria fazer
201,de tempos em tempos o aplicativo da problema com a biometria do iphone mesmo desativando a biometria eu tenho que digitar a senha umas 5 vezes para entrar no aplicativo pra ficar ruim esse aplicativo precisa melhorar muito pois e pessimo nunca corrigem esses bugs e muita incompetencia
202,toda vez que eu acabo bloqueando um aplicativo de banco por errar a senha diversas vezes eu me sinto aliviado contra possiveis golpes ou roubo de telefone porque porra se nem eu to sabendo a senha bloqueei o aplicativo da caixa agora 🤡
203,como recuperar a senha do caixa tem e voltar a ter acesso ao aplicativo httpstco5mgkmnojfk
204,galera de fora do br ta rolando de acessar o caixa tem ai meu saque do fgts caiu ontem e eu nao consigo acessar a aplicativo pra poder pegar meu dinheiro
205,quanto tempo leva pra o caixa tem enviar o link pra acesso do aplicativo
206,aproveitando o hype da thread do nubank e o assunto seguranca deixo a dica conta da caixa se nem eu consigo acessar quem diras algum fraudador 24h que o aplicativo ta fora do ar
207,esse aplicativo caixa tem esta pedindo para vincular uma conta caixa por questoes de seguranca do aplicativo alem disso pedindo a senha do cartao que isso caixa 🤔
208,chocada que as pessoas deixam assim eu tenho so o aplicativo da caixa e ele pede uma senha pra abrir e outra diferente para fazer qualquer operacao as pessoas precisam focar na seguranca
209,eu nunca criei tanto nome de usuario e senha dentro de uma porra de um aplicativo de um banco seguranca em excesso ja nao e mais seguranca caixa
210,caixa nao oferece seguranca nenhuma nos dados pela 3° vez entrei no aplicativo da minha mae e tem algum email com acesso ao cpf dela ja entrei em contato 3x p mudar toda vez muda e a pessoa do email desconhecido volta de novo que banco horrivel meu deus
