,reviews_classified_all
40,ja foi bom agora esta pedindo para ir na agencia para liberar o acesso ao aplicativo nao compensa ir pegar aquela fila toda vez que o aplicativo atualizar
41,nao consigo cadastrar usuario e senha
42,bom mais acesso com digital nao funciona problema resolvido
43,aplicativo muito bom porem agora para ver ate o saldo tem que liberar o acesso no caixa eletronico isso nao e nada pratico se eu quisesse e pudesse ir naquele momento no caixa eletronico eu ia e nao tentava nada pelo aplicativo ne falta praticidade
44,pessima a atualizacao pede sempre para ir ao banco para atualizar a senha nao completa o acesso no aplicativo pela internet
45,otima navegacao facil acesso
46,sempre se pode melhorar poderia ter como repetir as apostas quando ha um erro de digitacao na senha poderia poder corrigir e efetivar o pgto da conta sem precisar redigitar todos os dadosmas e um aplicativo muito eficiente mais uma coisa se tudo se pode fazer de forma digital porque nao se pode consultar de de 3 5 anos atras ter que ir a agencia pleitear isso e um retrocesso em algo que esta funcionando tao bempor favor revejam isso fora os assuntos relacionados a seguranca desnecessario
47,muito confuso na opcao senha nao tem esqueci senha
48,muito bom o aplicativo acesso com rapidez e sem dificuldades
49,o aplicativo e bom exceto quando a gente nao consegue acessar e da erro
50,facil acesso
51,estou tendo varios problemas com esse aplicativo digitando a senha e informa que esta errada pedindo para a liberacao no caixa eletronico
52,frequentemente ha o bloqueio da senha sendo que acessa pela primeira vez no dia
53,aplicativo muito bem elaborado e de facil acesso
54,porque o aplicativo tem que ter acesso ao meu celular e minha localizacao qual a necessidade disso agora o aplicativo ta muito bom
55,muito pratico e facil de acessar
56,e bom mas sempre pode melhorar as vezes nao reconhece a senha e preciso recadastrar
57,muito bom sempre consigo acessar
58,poderia ser mais facil o acesso pelo aplicativo tipo criar senha para uso to aplicativo pra poder realizar as transacoes sem precisar iate um caixa eletronico para validar muito chato isso ate agora nao faco uso do aplicativo alem de ver meu saldo por causa dessa burocracia
59,aplicativo horrivel todo momento pedindo para esta criando senha e usuarios
60,hoje o acesso melhorou
61,aplicativo nao vale nada pedi pra recadastra senha e faco tudo de novo e nao entre desepicionada viu
62,era e continua pratico e agil bom tambem o acesso ao extrato do inss embora haja limitacao para o acesso uma dificuldade e com a troca de senhas tive a conta invadida por hackers alem de ter de buscar na justica a possivel devolucao do dinheiro a conta as senhas depois desta invasao nao consigo refazer estao bloqueadas ainda mesmo depois de ir pessoalmente a uma agencia e trocar a senha voltaram a serem bloqueadas para operacoes via aplicativo
63,aplicativo pratico e de facil acesso
64,parou de funcionar do nada nao reconhece usuario e senha
65,so nao consegui fazer pix ja desbloquei a senha varias vzs
66,esta cada vez mais dificil acessar o aplicativo sempre indisponivel esta sempre tendo erro fora o acesso digital que tambem esta tendo falha hoje passei o dia tentando acessar o aplicativo e deu erro o dia inteiro haja paciencia
67,tava bom mais agora ta muito dificil acessar a conta i nem ver saldo moro numa cidade que nao tem caixa eletronico ai tenho que sair da minha cidade pra cadastrar dispositivo pelo amor de deus me ajuda ai para de complicar a vida dos outros
68,tem que melhorar muito ainda questao de atualizacaotem que sair do aplicativo e entrar de novo do nada o usuario e senha da invalido e o aplicativo manda fazer outro precisa melhorar muito ainda mais ja ajuda
69,o problema e o que exigem para conseguirmos a senha de acesso sendo preciso ir presencialmente na agencia ou caixa eletronico depois deste incomodo o uso do aplicativo e pratico e facilita as transacoes bancarias
