,reviews_classified_all
0,nao consigo fazer pix e nem usar meu cartao virtual pede indentificar facial quando e pra fazer o aplicativo simplesmente fecha
1,olha software e muito bom mais assim reconhecimento facial muito ruim nao e todo dispositivo movel que tenha camera de reconhecimento facial gera comflito ao estalar o aplicativo poderia ter uma desativacao pelo gmail fora isso otimo aplicativo
2,ja esta uma vergonha toda hora pedindo reconhecimento facial qual a logica
3,nao estou consiguindo valida meu dispositivo de jeito nemhum o reconcimento facial parece que nao ta me reconhecedo que fala pra seguir a estrucao ja seguir e tudo
4,otimo aplicativo porem esta com um bug de quando vou entra no aplicativo ele pede a biometria faz a leitrua ok so que faz a leitura umas 5 a 8 vezes para abrir
5,pessima atualizacao toda hora tem que refazer selfie facial pede pra entrar em contato a central
6,ja faz mais de 15 dias que tento acessar o aplicativo e nao consigo porque o aplicativo nao entra pra eu fazer meu reconhecimento facial o aplicativo nao presta
7,o tempo todo da erro no reconhecimento facial consertem isso porque enche o saco esse tipo de erro se optei por essa funcao foi pra nao ter que digitar senha
8,esta dica e para ser implementada na redefinicao de senha 1 no momento de solicitar a redefinicao deve solicitar a identificacao facial 11 nao confirmando a facial as etapas de redefinicao de senha nao e enviada 12 feito a confirmacao facial o aparelho celular atual e desautorizado e sera enviado as etapas de redefinicao de senha 13 o cliente recebera um email para iniciar as etapas de redefinicao de senha o cliente acessara este link e sera aberto o aplicativo do nubank e iniciara um contador de 2 horas regressivo obrigado a clicar no link para iniciar contador apos iniciar o contador o cliente pode sair do aplicativo 14 apos o contador chegar no valor de 0 minutos o cliente recebera um outro email com o link autorizando a redefinicao da senha 15 o cliente tera que autorizar o aparelho novamente apos redefinicao da senha desta forma criase mais barreiras de seguranca e qualquer estagiario de desenvolvimento consegue implementar esta funcionalidade visto que a mesma ja existe parcialmente quando se autoriza o aparelho por identificacao facil esta ideia criada por mim cria a verificacao de mais de duas etapas para redefinicao de senha com mais de duas camadas de protecao
9,ja tem um tempo tinha esquecido porque da outra vez eu ate desisti toda vez que tento acessar minha conta pj o aplicativo da um monte de bug insuportavel fala que o certificado do servidor nao e mais valido me desliga do aplicativo pede pra fazer reconhecimento facial um lixo
10,entao nao vou mas poder ter acesso ao apppor causa dessa maldita alteracao de senhapor eu uso biometriae so entra com a senha patrao que eu nao recordoaff eu to decepcionada e muitoe ninguem resolve o poblema
11,he nubank bandidos fazendo a festa com roubo de celulares e o aplicativo de voces so deixa logar com biometria ou passcode se o malandro pede tem a senha do celular ele rouba toda a minha grana no aplicativo sabia vamos melhorar essa seguranca ai urgente por favor
12,mais uma versao e continuamos sendo obrigados a usar a biometria do celular para acessar o app... vao resolver isso quando
13,o aplicativo do nubank melhorou nos ultimos meses em relacao a seguranca contudo precisa aprimorar ainda mais as camadas de protecao por exemplo permitindo que o usuario cadastre uma senha de acesso especifica para abertura do aplicativo mesmo que a opcao de biometria esteja desativada na versao atual se o usuario desmarca a opcao de biometria nao e possivel definir uma senha para controle de acesso no celular sendo possivel abrir o aplicativo facilmente caso a tela esteja desbloqueada o ideal seria permitir o cadastro de uma senha de controle de acesso independente da senha de desbloqueio do celular e utilizavel mesmo que a opcao de biometria esteja desativada no aplicativo o que diminuiria a brecha de seguranca existente algo importante especialmente em caso de furtoroubo
14,o aplicativo e bom porem as camadas de seguranca e questionavel eu nao quero usar face id para autenticar a entrada do aplicativo queria que o mesmo tivesse uma senha de acesso e a pedisse toda vez que entrasse no aplicativo como inter itau santander e afins o aplicativo no final te obriga a usar biometria isso e um perigo eu nao quero loja da nu eu quero seguranca e privacidade
