,reviews_classified4
0,pratico agil igual ao agiota aqui do bairro porque rouba igual
1,650 a taxa p sacar dinheiro no caixa eletronico isso e um roubo vcs vao tomar o pouco que o povo tem e porque eu nao consigo transferir meu dinheiro p outra conta minha em outro banco
2,amei o meu cartao o aplicativo muito bom mesmo o unico problema e o a seguranca do aplicativo porque toda vez que vou passar o cartao ai depois aparece que minha comprar foi negada mais eu nao comprei nada todo dia a parece nodificacao que minha comprar foi negada acho que clonaram meu cartao
3,vou da uma estrela por que cada sakele come seu dinheroq roubo
4,eu queria saber por que eu preciso por dinheiro para liberar limite um roubo isso
5,o nubank precisa melhorar na seguranca em casos de roubo ou furto uma dica e pedir autorizacao de login ao email cadastrado antes de mudar o proprio email e numero do celular no perfil
6,roubaram o celular da minha namorada e mesmo tendo senha no aplicativo da nubank eles conseguiram acessar a conta o que pra mim e falha na seguranca e pegaram o dinheiro na conta dela e o suporte da nubank informou que nao podiam resolver essa situacao sendo que deveria ter uma seguranca num aplicativo tao grande eu irei retirar tudo o que coloquei na conta pois agora tenho medo ja que tenho bem mais dinheiro guardado de acontecer o mesmo comigo uma pena pois eu sempre admirei a nubank
7,o appicativo me parece muitissimo inseguro diversos locais que exibem coisas como saldo valores investidor na corretora nuinvest dados pessoais como endereco etc sao facilmente acessiveis em aparelhos nao autorizados pra mim so deveria mostrar o saldo da fatura do cartao de credito no maximo pra aparelhos nao autorizados e se quer permitir alguma navegacao extra num pais onde roubos e golpes se tornam constantes esta cada vez mais necessario solucoes de seguranca melhores
8,jura que ate tu nubank vai entrar na roubada das cryptos vai ser um tiro no pe no dia que o bitcoin deixar de existir e der prejuizo em varias pessoas a instituicao nubank vai se queimar um conselho implantar uma plataforma home broker igual a do banco inter com pix e no proprio aplicativo para negociar acoes e nao loteria de cryptomoedas comprei acoes do nubank ontem e ja vendi hoje no prejuizo com a noticia que o nubank vai entrar nas cryptos perdeu credibilidade comigo
9,nao so depois que eu avaliar o aplicativo eu recebir 50 depis 20 de amigos que me pagaram pelo o aplicativo mais nuca pudi uzar esse dinheiro nem pelo o aplicativo nem de maneira nheuma perdir meus 70 reais ou seja me roubaram envemtaram que meu dispozivo e antigo e me rou baram
10,e o pior aplicativo entre todos bancos muitas vezes indisponivel eo que tem mais golpe
11,eu ja cai nesse golpe do saque do fgts minha dica e nunca use o aplicativo caixa tem jn
12,toda vez que eu acabo bloqueando um aplicativo de banco por errar a senha diversas vezes eu me sinto aliviado contra possiveis golpes ou roubo de telefone porque porra se nem eu to sabendo a senha bloqueei o aplicativo da caixa agora 🤡
13,clonaram a conta aplicativo caixa de pai e sacaram o dinheiro dele e ele vai viajar amanha ele ta puto ja prestou queixa na policia federal e eles so podem dar alguma resposta daqui a 15 dias e pai precisando do dinheiro
14,aproveitando o hype da thread do nubank e o assunto seguranca deixo a dica conta da caixa se nem eu consigo acessar quem diras algum fraudador 24h que o aplicativo ta fora do ar
15,roubaram meu fgts criaram um cadastro com um email fake no meu cpf tudo isso porque a caixa nao tem capacidade de criar um aplicativo com seguranca serio e ridiculo qqr um consegue abrir uma conta com qqr email se tiver seus dados
16,voce e roubado por falhas de seguranca do aplicativo caixa tem fica sem o auxilio a caixa suspende sua conta por suspeita de fraude e voce ainda precisa se expor ao virus indo ate uma agencia pra contestar o roubo em plena pandemia podemos processar
17,dei 3 estrelas porque o aplicativo e muito vulneravelpois os bandidos clonam ele facilmente e enviam links para os usuarios da caixa para roubar dados deles
18,pessimo aplicativo banco engessado um trabalho do caramba pra ativar o celular pra pagar conta e o aplicativo ainda fica travando e nao funciona roubaram meu celular e ja nao bastasse esse estresse a caixa tem o pior atendimento pra cancelar acesso do dispositivo espero que pra conseguirem acessar minha conta seja tao dificil tao impossivel como eu que nao consegui deslogar o acesso depois de 4hs esperando atendimento por telefone ainda por cima em pleno 2022 e nao conseguindo nada depois de atendida parabens vcs sao os piores
19,a caixa economica sempre foi boa porem apos auxilio emergencial piorou e hoje foi feita um transacao via pix por minha mae foi fraude fiquei 20 minutos no atendimento esperando um atendente que nao atendeu entrei em contato com a nubank foi muito rapido porem tem a contestacao que na caixa ninguem atendeu por todos os canais dinheiro nao esta facil pra ninguem e quando precisamos urgente de ajuda fica pior ainda
20,perdi o meu cartao da nubank e conseguiram fazer uma compra na internet com ele beleza fui no aplicativo contestar a compra e bloqueia o cartao o cartao chegou em casa depois de 3 dias so que o dinheiro que me roubaram por falta de seguranca da nubank so depois de 100 dias 🤡
21,nubank melhorar a seguranca do aplicativo contra roubo e clonagem 🤬🤢🤮 criar roupa para trouxa fazer publicidade de graca 🥰
22,mds o que ta acontecendo com a nubank to vendo varios casos de clonagem de cartao inclusive fizeram isso com o da minha irma pensando seriamente em mudar de banco
23,finalmente cancelei meu nubank e vamos de ter meu 5° nubank por motivos de clonagem
24,ceciliacarmenl2 ingridsilva nubank nao e julgamento ou critica talvez alerta nao sendo uma clonagem de dados ate um exame pode esperar uma ligacao nao sendo clonagem de dados ou sequestro do outro lado da ponta e consideravel uma ligacao para confirmar
25,ingridsilva nubank ingridsilva moro no estado do es aqui nao esta sendo diferente de outros estados em relacao a roubos de celular pix clonagem de dados bancarios infelizmente esses bancos como o nubank inter sao os que mais os clientes estao no prejuizo tem que ser denunciar mesmo
26,paomofado4 daardo ingridsilva nubank nao tem outra maneira se nao seria clonagem ou roubo nao golpe
27,oyafuso biaabellini saviomarttins caiquenicolau keytisouza ingridsilva nubank ou de que alguem por algum modo lhe clonou ate porque nao tem aviso previo pra clonagem mas tem para enviar uma transferencia você tem que confirmar concordar e so assim sera enviado e isso
28,esmenia ingridsilva nubank se nao resolver administrativamente lascou o judiciario so esta ressarcindo quem sofreu clonagem essa transferencia voluntaria e culpa exclusiva da vitima que nao teve dever de cuidado
