,reviews_classified_all
735,otima
736,porque meu aplicativo não to conseguindo cadastrar o pix
737,achei que dava pra fazer o cartao e ja usar mas tem que por dinheiro na conta e pra mim conseguir o dinheiro eu preciso usar o cartao kkjk ai entra num loop eterno
738,otimo
739,paguei minha fatura e nao recebi credito em meu cartao novamente
740,o banco e bom mas devia da mas oportunidade de emprestimo pra nos que samos crientes do nubank um voto de confianca com um limite de acordo com o banco
741,nao consigo acessar minha conta diz que nao esta conectado a internet e tenho cobrancas
742,custei a entender como se paga ja paguei juros por fazer um pix do caixa tem para o nu e nao go i aceito dois duas depois so passou do prazo de pagar
743,excelente
744,excelente facilidades orientacoes dicas tudo nos ajuda a gerenciar nossas financas direi brincando nao e um banco e uma poltrona do papai muito confortavel grato
745,ta uoo pra fazer pix
746,esse aplicativo ta dando muito erra e nao consigo entra na minha conta por gentileza resolvam pois resolvo tudo pela minha conta
747,cade o cartao para o meu adicional ainda estamos fugindo dos caixas 24h nao estou sentindo a vibe do ultravioleta sera que e sou
748,desses bancos digitais pra mim este ate agora ta sendo o melhor parabens ao nubank
749,melhor banco da atualidade
750,otimo
751,melhor banco de todos
752,sou cliente a mais de 5 anos sempre pago minha fatura em dia nunca aumentam o meu limite outros bancos me ajudam bem mais
753,ola quero pedir uma 3° via de cartao mas nao consigo de jeito nenhum como faco
754,otima
755,nao estou conseguindo fazer meu pedido do cartao
756,muito bom so precisa melhorar na parte do limite
757,otimo
758,eu preciso de um cartao
759,muito bom facilidade em tudo passou de minhas expectativas melhor banco digital
760,muito bom um dos melhores bancos ou dizendo e o melhor entre os bancos
761,porque eu não consigo colar a chave pix no momento de enviar
762,muito bom so nao e bom de liberar limite mais gosto muito e bem pratico
763,ja fazem mais de 5 dias e nada de minha conta ser aprovada so fica em analise so estou dando nota 1 porque nao pode dar 0
764,o aplicativo e muito bom mais em compensacao o limite e percimo no sim dias de um limite de 300 reais nao e nada acho e esse cartao nao vai com a minha cara conheco cliente que nao pagar direto nao tem renda que eu tenho e o limite e de 3000 mil reais ja eu pago em dia e antes da data a minha renda e boa e mim dao um limite desse a qz tres anos vou pagar e vou cancelar nao ta mim servindo pra meus gastos
765,excelente
766,eu esto amando ela sitorno minha conta principal
767,ate o momento otimo
768,melhor aplicativo de banco
769,eu so queria saber se demora tanto tempo para eu conseguir baixar o aplicativo porque ja esta ha dois dias marcando que esta em pendencia entao eu so queria saber porque nao consigo abrir uma conta
770,nubank o meu melhor banco digital do mundo
771,excelente
772,pessimo banco conta encerrada com sucesso
773,pessimo estou tentando fazer um pix desde terca feira dando erro ao processar e ninguem sabe o que aconteceu chat email fone e ouvidoria quando precisamos nao tem um responsavel para responder ou resolver nao recomendo
774,otimo
775,é boa tarde eu fis o cartao de credito nubank esperei chegar acompanhe pelo aplicativo ai deu o dia de entregar nao chegou no meu endereco e consta no aplicativo que foi entregue e ai pensei que entregaram no correio e fui la ver e nao estava la tambem gostaria de saber pra onde foi entreguee o pessoal do correio me disse que vcs entregam por conta propria igual o mercado livre mas aqui nao recebi como facoja entrei no aplicativo e dis que ja entreguou pra eu desbloquear o cartao
776,o aplicativo em si e bom porem a gente nao consegue aumentar o limite de credito ate hoje so deram 50 reais de limite isso desanima
777,o aplicativo e otimo bons atendimento e etc o problema e que quando eu estava desempregada o aplicativo liberou um valor para emprestimo e agora que estou trabalhando eles nao liberam porque falam que tudo e analisado sendo que agora entra mais dinheiro na conta do que qualquer outra coisa ai voce nao sabe se continuar usando ou cancela de uma vez
778,criei uma conta a dois dias atras e ainda esta a mensagem pedindo para espera um hora pra revisar as informacoes
779,excelente o aplicativo
780,baixei e nao gostei da camera nao esta dando para tirar fotos dos meus documentos nem flash tem nao estou conseguindo terminar meu cadastro por isso teria como melhorarem isso
781,uso esse banco a mais de 2 anos sempre movimento uso limite do cartao o tempo todo pprem nunca almenta o limite fico decepcionado com essa situacao agora migrando pra outro banco infelizmente
782,tenho cartao de debitomas nao da credito pra ninguem
783,bonco otimo e para toda hora
784,me jogou pra fazer cartao de credito mas eu nao tive opcao eu nao quero cartao de credito so quero conta e cartao de debito nota zero
785,gostei dos depoimentos parece ser muito bom vou pedir um cartao de credito
786,o banco e mais o menos nao intendo eu tenho o nome limpo o banco nao libera limite nem a funcao emprestimo e quem tem o nome sujo libera eu vou usar o outro banco que eu pedir um cartao e vou tirar a portabilidade desse
787,tudo muito otimo gostei por demais
788,melhor banco que conheci perfeito
789,nao estou gostando faz meses que peco meu cartao e eles nao liberam
790,mandei mensagem ontem no aplicativo reclamando do fato de nao terem liberado ainda o cartao de credito pois o meu nome esta limposcore bom e com contas em dia e me disseram que infelizmente terei que esperar pois a avaliacao e rigida mandei email pra ouvidoria ontem mesmonao me responderammandei hoje de novoe me falaram que eu teria que reclamar no sac primeiro sendo que fiz isso ontemrespondi o email explicando ha 1 hora atras e nao me responderam aindaso a demoratenho desde 2020decepcao
791,o aplicativo esta chato vou ate parar de usar o cartao de credito a fatura nem venceu e o aplicativo fica te cobrando tipo fecha dia vence dia 15 fica direto notificacoes pague sua fatura fala serio
792,a nubank e a unica conta digital que nao consigo enviar meus documentos simplesmente porque a camera nao foca ao tentar tirar a foto e pasmem ja tentei em varios celulares pensei que minha camera que estava ruim mas nao e o aplicativo mesmo
793,quero ser cliente desse banco porque e facil de usar
794,pessima atualizacao toda hora tem que refazer selfie facial pede pra entrar em contato a central
795,otimo
796,e bom por um lado e ruim pelo outro que e na hora de pedir aumento de limite que nunca aumenta mesmo voce pagando suas contas dias nao entendo o nubank mesmo pessoas que indiquei tem o limite melhor que o meu mesmo utilizando pouco o cartao de credito
797,fiz 18 qnos e nao me liberaram limite nenhum so porq nao tenho emprego de carteira assinada mas eu trabalho quem ta tomando ma fama e eles
798,otimo
799,rapido e facil e com otimas oportunidades de emprestimo credito e investimentos
800,jura que ate tu nubank vai entrar na roubada das cryptos vai ser um tiro no pe no dia que o bitcoin deixar de existir e der prejuizo em varias pessoas a instituicao nubank vai se queimar um conselho implantar uma plataforma home broker igual a do banco inter com pix e no proprio aplicativo para negociar acoes e nao loteria de cryptomoedas comprei acoes do nubank ontem e ja vendi hoje no prejuizo com a noticia que o nubank vai entrar nas cryptos perdeu credibilidade comigo
801,ja estava na hora de ter no aplicativo o token pinformar na ura sugeri isso ha 4 anos e naaaada podia tb ter opcao de bloqueio temporario do disponivel em conta corrente e não so no cartao
802,melhor banco de todos
803,eu nao sei como mexer em cartao mas posso aprender eu gostaria de ter um so para mim você acha que tenho direto a tela um
804,muito pratico e rapido bom de maiz
805,ta por fora 50 reais de limite da pra nada nao mexo com outros bancos e o ajuste do limite deles ta melhor que o de vcs continua assim vou sair e fora desse nubank
806,comesei a usa a pouco tempo i e muito bom muito facil
807,otimo
808,melhor aplicativo que eu tenho
809,precisa melhorar
810,muito bom e otimo
811,e otimo porem perdi meu celular com o email cadastrado e nao lembrava a senha de acesso ao aplicativo ai nao dao a opcao de um novo email e nao estou podendo usar nem fazem pix nem nadap
812,desde quando comecou a nubank sou cliente 50 de limite nunca aumentou faz 12 dias que fiz conta na c6 bank ja me mandaram cartao com limite de 350 vai entender
813,eu quero fazer o pix
814,top estao aumentando meu limite consideravelmente tudo faco por ele nao dependo de ficas mais pra nada obrigado por deixar eu fazer parte do roxinho
815,banco ruim meu limite nao sai dos 400 ja vai fazer 3 anos pessimo pra almentar limite achei banco ja me deu cartao 1700 de uma vez banco pam esse sim e bom enquanto nubank vou e cancelar meu cartao vale de nada
816,gosto muito so falta mim dar um limite alto
817,excelente
818,gostei muito desse banco o limite de credito aumenta todos os meses
819,otimo
820,esse aplicativo e otimo
821,nao tem melhor nao
822,inexplicavel muito otimo
823,travou meu pix a mais de 30 min e nao consegui receber nem tranferir na hora em que mais preciso o pix fica fora do ar o pior ainda nao voltou os outros bancos funcionando normalmente so ele com o pix fora do ar fico pensando se colocar um valor maior nesse banco
824,nao to gostando criei minha conta terca feira e pra entra no meu aplicativo estao pedindo cpfe senha ate ai ok mas ai eles falam que vao envia um codigo de verificacao no meu email para acessar a conta e esse codigo nao esta chegandooque devo fazer
825,otima
826,otimo
827,falta liberar meu emprestimo banco excelente
828,mudei para 5 estrelas banco otimo
829,uma estrela porque nao aumenta meu limite de creditoo credito que vcs disponibilizam 50reais sem comentarios 🤨🤨🤨🤨🤨🤮🤮🤮🤮
830,nao tenho o que falar referente a experiencia que tenho com o aplicativo e o banco meu feedback e mais para a parte da seguranca vivemos em uma sociedade em que esta cada vez mais rotineiro os assaltos e os smartphones sao o principal alvo desses assaltantes para que nos usuarios da conta do nubank e contas digitais em geral tenhamos um jeito mais facil e agil de bloquear qualquer tipo de tentativa de violacao de contas um acesso por computador seria muito mais rapido e eficiente
831,excelente aplicativo muito bom mesmo so quero um limite de credito 🤭
832,o melhor aplicativo do mundo sem frescuras
833,otimo banco
834,pix so se for cpf ou qr code
835,48 horas pra alterar limite de pix lixo
836,eu estou a espera do cartao e o abrimento do aplicativo na minha conta
837,para mim esta sendo um otimo aliado so tenho que parabenizar
838,excelente
839,limite muito baixo e nao aumenta
840,meu limite nunca aumentanao to gostando do cartao de credito mas a conta e otima
841,o melhor banco que ja tive
842,mais de 4 anos com nubank e pago minhas contas em dias e nada de aumentar meu limite
843,otimo muito satisfeito com minha conta
844,otima excelente aplicativo
845,faz tempo que tenho esse robinho so contar e nao liberaram credito pra me
846,muito bom e otimo
847,em poucos meses de experiencia com esse banco so transtornos compras que eu nunca fiz nao sendo estornada atendentes nao respondendo o que a gente pergunta nunca tive problemas com cartao de credito foi so mudar para a nubank que comecou um estresse todo mes horrivel vao perder cliente
848,to tendo problema pra entrar no aplicativo ponha a senha do meu celular mais so fica na tela de inicio e nao entra no aplicativo preciso pagar minha fatura e nao ta abrindo o aplicativo
849,melhor banco virtual da atualidade seguro rapido com o suporte e melhores cartoes podemos pagar contas com ele quando pagamos o credito com nosso proprio saldo o limite e liberado na hora tambem
850,otima escolha aplicativo muito bom
851,otimo
852,o aplicativo e exelente sem burocracia e de facil entendimento recomendo
853,a ultima atualizacao nao gostei todo pix recebido antes eu ja puxama a barra de status e via em nome de quem foi agora mostra o pix mas escreve sobre investimento do valor e nao o nome ai tenho que abrir o aplicativo pra vizualizar o nome de quem fez
854,amei muito facil pratico
855,ate o momento tem sido a melhor experiencia com cartao de credito o cartao virtual me da seguranca para fazer compras online a conta rende mais do que em banco tradicional e tudo e muito simples e explicativo sem pegadinhas em letras miudas super recomendo
856,gosto bastante de usar a conta nubank porem to chateada com o limite do meu cartao mais tirando isso a conta e muito boa facil de usar e pratica
857,muito otimo
858,qual a necessidade de ficar colocando no aplicativo da nubank as opcoes de investimentos sendo que existe a corretora pra isso e deixando a desejar pra quem tem a conta pela nuinvest que esta cada vez mais largado as tracas a easynvest era a melhor na minha opiniao agora ja estou repensando em deixar tanto a nubank quanto a nuinvest lamentavel
859,otimar
860,ja faz mais de 15 dias que tento acessar o aplicativo e nao consigo porque o aplicativo nao entra pra eu fazer meu reconhecimento facial o aplicativo nao presta
861,otimo banco merece 5 estrelas
862,aplicativo otimo nao consigo criar minha conta por que o codigo nunca chegar no email tenho 18 anos fis hoje e nao consigo abrir minha conta queria saber por que nao chegar to fazendo tudo certo so nao vou da 5 estrelas por causa disso mas ser resolver volto aqui
863,pra mim tudo fica mais facil com este aplicativo
864,otimo aplicativo
865,um dos melhores apps bancario espero que continue assim
866,paguei uma fatura 1 vez atrasada e nao aumentam mais meu limite mesmo movimentando a conta e com renda comprovada pago as fatura sempre antes do dia do vencimento o meu erro foi so um e o de voces vai ser tambem
867,otima
868,a dias nao consigo mais acessar minha conta vamos aguardar a fatura pelo email
869,excelente
870,esta dificil avaliar positivamente esse aplicativo como vou usar mais essa fintech se nem limite me concedem ja utilizo desde 2017 e nada fiz tudo que estava descrito na sessao ajuda enquanto isso fui usando um outro do concorrente e ja tive limites aprovados de 24 e 58 mil tudo porque tive que usar segundo e terceiro cartao na proxima vez que for pegar o cartao para usar qual dele acham que vai para ultima opcao agora
871,excelente
872,o melhor banco parabens indico
873,muito bomm abri a conta a uns dias to esperando o cartao mas so o aplicativo ja e top 🤩🤩
874,a melhor possivel
875,otimo banco
876,nao aumenta limite mesmo voce pagando em dia nao recomendo
877,otimo
878,otimo
879,otima
880,perdi meu tempo preenchendo formulario e mandando foto pra ser aprovado em 5000 reais de credito ah me poupe o que e 5000 reais criem vergonha o pior e que so tem opcao de desativar conta e eu quero excluir pra sempre ja nao gostava por causa da anitta agora por conhecer nao gosto mais ainda obrigado
881,o melhor
882,nao recomendo isso pra ninguem prefiro o c6bank mil vezes
883,otimo banco melhor banco de se trabalhar sem complicacoes aplicativo maravilhoso super indico
884,otimo
885,otimo aplicativo
886,aplicativo horrivel ja tem mais de meses que fiz meu cadrasto no nubank ate hoje so aparece que vai leva em torno de uma hora pra avaliar e nunca avalia
887,abri minha conta faz meses ate hoje nao foi aprovado esta no mesmo processo
888,faz dias que tento abrir uma conta e ficam dizendo que vai analisar os dados e nada
889,tenho 2 reclamacoes 1 tiraram a opcao de bloqueio de cartao no aplicativo 2 nao aumentam meu limitesendo que eu nunca atrasei o pagamento e nunca parcelei a fatura total
890,ensinando os antigos ancioes bancarios como se deve trabalhar otimo aplicativo
891,bom e pratico
892,otimo
893,perfeito melhor banco pra credito
894,parabens minha nubank esse e um dos melhoris cartao de credito e debito qui eu j adiquerie nesse mundo no ta 10 ta show
895,quero abrir minha conta
896,melhor aplicativo de conta digital que existi
897,gostei bastante do meu cartao so o limite que e baixo
898,otimo aplicativo
899,excelente aplicativo nao utilizo mais o banco convencionais que tem juros e taxas absurdas por diversas vezes nao sabemos nem o que estamos pagando aqui tem transparencia mais confianca
900,bom de mais so o limite que demora muito pra ser aumentado ja fiz uns 5 pedidos de aumento de credito mais ate agora nada tirando isso o banco pra min na minha nessecidade ate que da pra ir se virando
901,o aplicativo e otimo porem hoje parou de mostrar o nome de quem transferiu o valor so mostra que recebeu uma transferencia voltem urgente pois para identificar o depositante precisa abrir o aplicativo
902,excelente aplicativo
903,eu tenho esse cartao mais de ano eu nao aumenta o limite
904,eu acho otimo
905,excelente
906,otimo
907,otimo
908,ele e otimo
909,dando credito e retirando essa foi boa outros cartoes sempre aumentando meus creditos mes a mes o nubank parou no tempo kkkk
910,boa noite eu gostaria de ter um cartao de credito nubank
911,otimo 🥰🥰
912,melhor banco o ruim e que o saque nao e gratuito mais fora isso e disparado o melhor banco
913,otimo
914,eu recomendo este cartao ele excelente pra fazer aplicacoes otimos parcelar suas contas e ainda pode antecipar suas faturas
915,otimo
916,otimo amo muito
917,pago minhas faturas em dia e sempre uso o limite total e nunca recebo um limite maior os limites entregue as clientes nao compensam
918,muito bom otimo
919,bom mas limite de credito e orrivel
920,muito pratico
921,tratamento pessimo pago minhas faturas certinho ate tenho pagado adiantado pedi um novo aumento de limite nao tive resposta dos responsaveis por essa area o pessoal do chat do que nao e com eles no chat voce nao consegue nenhum esclarecimento parece ate que e mensagem automatica muito descontente com o aplicativo nao recomendo pago tudo em dias e tenho pagado ateesmo com um mes de antecedencia cada fatura nao vejo motivo para tal tratamento
922,excelente
923,melhor banco ate hoje do qual ja fui cliente
924,gosto muito do aplicativo e de sua funcionalidade porem tem vezes que o pix nao vai sai fora do ar o sistema demora algumas horas e volta o maximo foi de um dia sem o pix tirando isso e otimo
925,otimo aplicativo perfeito
926,otimo so queria mais limites
927,muito bommas uma ideia pra adicionar liberar emprestimo valor do limite e pagando sem atraso e adiantando as parcelas ai logo em seguida dobra o valor do emprestimo apos ultima parcela
928,aplicativo otimo sem problema sem burocracia abre a conta ligeiro nao tenho o que falar otimo nota 1000
929,fiz pra mim porque minha familia tem e adora porisso fiz pra mim tambem
930,o melhor cartao tudo se resolve na palma da mao pelo aplicativo
931,nao tenho doque reclamar pra mim e o melhor em tudo
932,rapido e facil esse aplicativo e top
933,eu sempre tive cartoes mas esse e a primeira vez mas eu estava querendo ele porque todos que tem fala bem dele que ele e otimo
934,melhor aplicativo de banco da face da terra nao tem taxa tem pix facil e melhor que o da caixa e o sistema nao cai so acho que deviam permitir pix usando telefone pois nao consigo pagar com essa opcao
935,nao sei porque abri esta conta queria limpar o historico do aplicativo e nao tem como limpar e nao dao suporte nem um e nem resposta dao sobre o meu assunto
936,melhor aplicativo de banco que ja trabalhei pena que nao aumenta meu limite
937,muito bom otimo
938,vou distalar o meu cartao sendo que tenho dinheiro nele e nao consigo fazer compra toda vez que vou fazer compras o meu da transicao nao autorizada e meu cartao opcao credito nunca aumentou so funciona o debito
939,banco otimo mais nao da pra resolver nada tive meu cartao furtado fizeram compras e nao to conseguindo cancelar as compras e ainda tenho que paga uma compra que nao fiz
940,excelente adoro muito bom e de facil acesso
941,e otimo
942,gosto muito de usar o cartao nubank porem nao possui todas as funcoes que outros bancos mas recomendo para outras pessoas que nao possui conta nubank
943,otimo
944,o melhor aplicativo de investimento
945,excelente
946,otimo
947,o limite que nao aumentao valor fornecido e menor que 5 do valor movimento na conta fico indignidado com isso
948,quero tambem compra na chopp com o cartao de credito nubnk
949,otimo muito bom mesmo
950,muito bom pois nunca tive pobrema algum com minha conta so agradeco parabens pra equipe nubank
951,ja foi melhor mas agora quando eu abro o aplicativo ele some com informacoes do dinheiro que eu tenho guardado e isso irrita demais pois acontece sempre
952,otimo
953,para quem esta procurando uma conta digital esse aplicativo e excelente tudo nele funciona de verdade parabens para voces tanto dos servicos quanto do aplicativo
954,gargalhada que cartao e esse nao veio nem com 50 de limite
955,eu amo a nubank nao troco por nada mais o que houve com a qualidade do cartao fisico descolou tudo em questao de dias aconteceu o mesmo com o do meu marido ficou bem mais bonito mais a qualidade 0
956,otimo
957,nota zero o aplicativo impede o acesso solicitando o pin mesmo ja estando com todas as permissoes você nao consegue acessar de modo algum enviei a cedula de identidade profissional mais completa demoraram 1 tempao ficam dando dicas pra você resolver ridiculo isso
958,otimo produtivo
959,otimo so e ruim de aumentar o limite
960,achei o mais pratico de todos show de bola mesmo parabens nu
961,tento terminar a autorizacao do meu dispositivo e toda vez aparece a mensagem ocorreu um erro ja fiz de tudo como limpar cache e reinstalar tentei ter uma conta nubank mas nao consigo
962,topzera🤙 so me falta dinheiro pra guardar
963,melhor que muitos bancos por ai o problema e que nao dao credito
964,cara porque que tiraram a opcao de fazer pix com o numero de celular botem de novo pfvr e se tiverajeita porque esta muito escondida a opcao de pix com a chave pix por numero de celularobgd
965,so nao dou 5 estrelas pois eles so aumentam o limite uma vezdepois demora muito ja tem uns 6 anos que uso e o limite so aumentou uma vez eu uso semprepago em diasacabo de pagar e ja uso e nada de aumentar
966,muito to bom so podia aumentar o limite
967,o melhor cartao da vida
968,horrivel apesar de ter dinheiro suficiente na minha conta na hora do saque acusou saldo insuficiente isso e uma palhacada vou procurar meus direitos
969,nao entendo o porque do minha conta nao ter creditosempre tenho dinheiro no debito por la mais também queria credito
970,cantos diachegar esi cartao
971,eu abaixei ontem esse appqdo foi hoje minha conta foi bloqueada com meu dinheiro agora nao sei oque eu faco estou desesperada aqui sem oque fazer eu nao fiz nada pra minha conta ser bloqueada fui fazer um pix aqui la apareceu que fui bloqueada affs meu dinheiro estou sem oque fazer eu usam da caixa nunca aconteceu issofaco pix normal ja nesse aplicativo fui bloqueada com meu dinheiro ate ontem meu dinheiro tava na conta do nada sumiu tudoconselho que eu dou pra voces nao usam esse aplicativo ok
972,rende menos que qualquer concorrente nao aprova nem 100 reais no cartao de credito
973,depois de adquirir o roxinho nao troco por outro meu roxinho favorito o problema e so a seguranca do aplicativo nao gostei da opcao se o dispositivo nao tem senha otimo a senha e a do aplicativo caso contrario a senha do aplicativo automaticamente se torna a mesma do dispositivo isso nao e bom pois outra pessoa que tem acesso a senha do dispositivo podera acessar tambem ao aplicativo e ai pode ocorrer o inesperado que todos ja sabem
974,ha mais de 1 mes que a leitura de codigo de barras nao funciona por que disponibilizar entao o aplicativo e um lixo lento defasado em relacao aos demais aplicativos concorrentes so mantenho o uso dessa plataforma por conta de um financiamento senao nunca mais abria conta qualquer nesse banco atrasado atualizemse invistam em tecnologia
975,o leitor de qr code para pagamentos via pix nao funciona o leitor nao le o qr code
976,preenchi os dados de pix e enviei mas esse aplicativo horrivel so mostra dados do destinatario apos envio e para minha surpresa havia digitado telefone errado e nao tinha como cancelar na primeira versao ao digitar os dados aparecia algum dado do destinatario antes de enviar mas pra variar vcs mexeram e deixariam pior parabens
977,instavel demais utilizo outros aplicativo de bancos e nenhum e tao instavel em junho de 2022 e ainda nao consigo fazer pagamentos por ele lendo codigo de barra para boletos nem tampouco pix com qrcode lamentavel cada atualizacao infelizmente piora a funcionalidade
978,precisa melhor a questao da biometria porque constantemente fica saindo e pedindo a senha e poderia aparecer o nome e horario de quem fez um pix no extrato igual os outros bancos aparecem
979,o aplicativo esta bem melhor do que antes
980,muito bom funciona perfeitamente e tem uma otima interface
981,corrijam o problema do apo logo nao consigo nem entrar na minha conta so da erro e esta tudo certinho o aplicativo de voces e horrivel o pior que ja vi precisam arrumar isso com urgencia o meu nao entra o da minha mae nao entra esperando uma atualizacao p ver se melhora
982,tem seus “delays” mas quem tem conta em outros bancos sabe que todos tem mas e muito seguro e tem todos os servicos principais
983,o aplicativo esta com algumas falhas sempre que clico pra ver so saldo da um erro e tenho que colocar a senha de de novopor favor corrigir esse bug no aplicativo grato
984,faz quase 1 mes que eu nao consigo pagar nenhum boleto no meu aplicativo tanto por codigo de barrastanto pelo qrcode via pixpois o aplicativo nao le no meu iphone 13 pro...uma falta de respeito com usuario que necessita para pagar as contas essenciais de casa
985,esta longe de ser sem defeitos mas melhoras a cada dia deveria ser mais facil colar codigo de barras e nao haver distincao entre formatos de boletos deveria ser capaz de reconhecer automatico tipos de boletos assim como aplicativo de cooperativas
986,o aplicativo e bom atende as necessidades so tem um ponto a melhoras o bug que da em determinados horarios que nao se consegue acessar de jeito nenhum o mesmo isso causa serios desgastes e vergonha
987,aplicativo da caixa nao esta lendo boletos de codigo de barras e nem qrcode p pagar pix diferentemente de outros apps de outros bancos que uso e que funciona
988,precisa melhorar ainda apresenta alguns erros de vez em quando
989,demora mais de 2 dias para lancar o total no saldo enquanto ja aparece no extrato um outro total embaralhando toda a conta fico tendo que fazer conta na calculadora para descobrir o saldo
990,precisa melhorar as opcoes de investimento em renda fixa e variavel acoes e fundo imobiliario
991,cada dia uma novidade ruim a nova agora e que o aplicativo da caixa nao esta linde qr code de pix
992,bom dia por favor consertar o leitor do codigo de barra nao consigo pagar as contas por esse banco pago normalmente por outros bancos
993,o aplicativo e tao ruim quanto o banco vive fora do ar bloqueia o usuario mesmo digitando a senha correta se melhorar muito ainda vai continuar sendo ruim melhorem...
994,ola desenvolvedor depois dessa atualizacao nao consigo pagar boletos com o codigo de barra o pix o telefone nao ler codigo de jeito nenhum pelo aplicativo atualizado desde ja agradeco
995,e inacreditavel que a caixa ainda nao tenha compatibilidade com a apple pay e meu cartao sequer tem sistema de pagamento por aproximacao estamos em 2022
996,aplicativo instavel diz que e pra realizar novo login mais nao permite iniciar novo login
997,carece de melhorias para eliminar as acoes repetitivas e desnecessarias visual poderia ser mais moderno e pratico
998,ha um mes parou de ler codigo de barras pra pagamentos ja atualizei e nada att
999,nao fica mais so carregando nao da bug pra entrar ta funcionando melhor maio22
1000,pelo amor do pai facam uma melhoria no aplicativo isso pouparia muita gente de ter que ir no banco para fazer algum servico o aplicativo ta pessimo principalmente no quesito fgts melhorem isso por favor o aplicativo “caixa tem” nao esta funcionando
1001,estou tentando puxar meus extratos da movimentacao da minha conta poupanca e nao estou conseguindo voltar a ter acesso pelo whatsapp nao esta mais aparecendo a opcao se nao da pra usar mais porque disponibiza falta de respeito com o usuario se for na agencia sao filas enormes e uma lentidao no atendimento ai se vai tentar pela internet nao consegue do mesmo jeito voces so dificultam a vida da populacao
1002,nao e possivel um banco ter tanto dinheiro e nao conseguirem investir em um aplicativo digno toda vez a mesma coisa tenho que ficar perdendo tempo indo no banco desbloquear pra poder mexer nesse aplicado de mda ig joyceolivs
1003,o aplicativo e muito ruim toda hora instavel toda hora da erro de autenticacao biometrica tem que melhorar muito
1004,otimo aplicativo
1005,o aplicativo e tao ruim que nao le qrcode de pix que o aplicativo caixatem le ou seja a caixa nao consegue nem padronizar as tecnologias de leitura de seus aplicativos surreal
1006,aplicativo me ajuda no que preciso sempre que contei com voces nunca me deixaram na mao deus abencoes vcs desenvolvedores do aplicativo e a instituicao da cef gratidao
1007,no meu iphone o aplicativo nao esta realizando pix so diz que sua sessao foi encerrada entre com suas credenciais novamente nem consigo ver meu extrato voces poderiam resolver meus problemas
1008,semanalmente quando o aplicativo abre realizo imediatamente pix para a conta pj santander pois pelo aplicativo santander eu sempre consigo realizar os pagamentos e transferencias pix ted doc... necessidade de aprimoramento do aplicativo cef urgente
1009,excelente aplicativo nunca me deixou na mao consigo obter todas as informacoes que preciso e realizar meus pagamentos com facilidade
1010,você faz todo o procedimento de cadastrar usuario e no final diz que esta indisponivel por isso tem tanta fila na caixa os aplicativos nao servem pra nada
1011,muito bom rapido e pratico nunca me deixou na mao
1012,estou tentando abrir o aplicativo a mais de um mes no ios mas sempre da erro precisa melhorar e muito essa plataforma
1013,faz mais de duas semanas que nao consigo acessar a minha conta precisava consultar saldo pagar contas fazer pix... “erro ops nao foi possivel processar sua solicitacao favor realizar um novo login cod 0530” o problema nao e a minha internet o aplicativo reflete com clareza o estilo de banco que a caixa economica federal e o estilo de atendimento prestado e o descaso com os consumidores muitas vezes obrigados a fazer uso desse banco pelo governo federal para chegar no nivel razoavel tem muito chao pela frente deixo registrado a minha insatisfacao com esse banco com esse aplicativo e com o descaso que precisamos tolerar
1014,o aplicativo e bom porem precisar melhorar nao posso contar com ele para fazer pix da muito erro para abrir as vezes
1015,melhorou bastante mas pode melhorar mais
1016,apos um periodo de grande instabilidade o aplicativo melhorou bastante precisa facilitar copiar e colar codigo de barras e dados em pix e transferencias
1017,o aplicativo e um pouco lento se erra a senha uma ou duas vezes ja tem que cadastrar novamente e o pix teria que ser mais facil todas pessoas que eu conheco e tem conta na caixa reclamam da dificuldade que e fazer um pix no aplicativo da caixa
1018,leitor de barras precisa melhorar o anterior com aquela linha no meio era melhor
1019,apareceu no aplicativo cadastro do apelido para o seu dispositivo escolhemos um nome para aumentar a seguranca do seu mas nao aceita colocar apelido e nao vai adiante fui na agencia duas vezes diz que oprogramador do aplicativo que deve consertar o bug e os desenvolvedores aplicativo nao responde e nao posso movimentar a conta os bancos sempre cheios de pessoas atras de bolsas familias e nao sei mais o que que e tao lotados todos os dias o que devo fazer entrar com acao judicial
1020,aplicativo apresenta erros para abrir ja fazem dois dias que nao consigo acessar minha conta
1021,precisa melhorar e muito a noite e final de semana nao funciona nada
1022,rapido facil confiavel e e da caixa
1023,esta bom mais da pra melhorar tem muitos erros as vezes
1024,equipe de ti deixa a desejar em seguranca contas invadidas e dados coletados com frequencia 🤦‍
1025,e um bom aplicativo mas tem uns bugs que precisam ser melhorados como a instabilidade por exemplo
1026,um aplicativo dificil ate o momento nao conseguir abrir coloco meus dados agencia e conta e fala sempre indisponivel
1027,nao esta sendo possivel realizar leitura de qrcodes p envio de pix ja desinstalei e instalei o aplicativo de novo e permanece igual o aplicativo da caixa e o pior entre os bancos
1028,antigamente era ate aceitavel mas agora e tanta seguranca que nem eu mesmo consigo acessar minha propria conta o melhor a se fazer e deixar de usar esse banco pra sempre pois tudo com ele e na base do “tenta a sorte”
1029,tenho todos meus dados e ate pra consultar o saldo tenho que desbloquear o cce lugar indo ai caixa eletronico pior aplicativo bancario que existe
1030,o aplicativo da caixa esta cada dia pior vou acabar fechando a conta porque nunca consigo fazer uma transacao pelo aplicativo quando preciso
