,reviews_classified_all
89,e imprescindivel que todas as variantes do cartao nao apenas black venham sem numeracao impressa por uma questao fundamental de seguranca
90,melhor de todos eu recomendo nubank
91,um desservico totalvou quebrar o cartao de excluir de vez
92,otimo
93,o pp e otimo
94,excelente atendimento muito profissionalismo em toda a equipe estao de parabens
95,eu estou com problemas para abrir o aplicativo quando eu abro pede a senha e uso a digital mas o aplicativo volta no inicio e pede a senha de novo e fica assim o aplicativo nao abre pra usar eu tenho que sair da conta e logar de novo isso e chato e cansativo
96,acho que deve ser bom so estou esperando meu cartao chegar
97,bom gosto muito do roxinho esse e meu primeiro cartao e amo o limite da minha colega foi 200 e o meu 400 pago antes da data de vencimento pra almentar o limite por enquanto nada a reclamar obs editei porque descobrir que o aplicativo nao tinha nada ver com o problema de eu nao conseguir entra no aplicativo e descobrir como evitar
98,vou dar tres estrelas pois esta atualizacao esta horrivel sempre dando erro nas transferencias pix principalmente nos horarios de meio dia uma ora sempre dando falha arrumem isso
99,eu uso esse banco a mas de 4 anos depois de 4 anos que mandaram 50 reais de credito eu me pergunto pra quer que serve 50 reais
100,o aplicativo e muito bem explicado e as letras sao otimas para leradorei
101,otimo
102,o aplicativo nao abre ja faz uns meses que eu tento acessar minha conta mas o aplicativo nao abre
103,melhor de todos
104,otimo aplicativo
105,eu tenho um cartao de credito mas gosta mas problema dele e que demorar muito da aumento enao presta a pessoa ter muitos cartoes
106,melhor aplicativo melhor banco sou cliente da conta cartao e de investimentos ah minha vida tambem esta assegurada com o nubank e de quebra sou dono de um pedacinho deles também
107,gostei facil e pratico
108,gente que banco e esse que nunca aumenta o limite dos clientes pior banco que ja vi
109,pratico so queria poder pagar tudo no debito automatico mas nao consigo so falta isso para ficar completo o cartao e otimo
110,otimo aplicativo depois que o conheci nao conseguir mais achar nenhum outro banco que abrangesse minhas necessidades
111,uma conta maravilhosa parabens nubank nota 1000
112,otimo
113,ainda nao tenho o cartao mais ja vi por terceiros que este cartao e o melhor pramim estou aguardando omeu
114,pessimo cartao pouco limite ja faz 3ano e so tenho 50reais de limite hoje em dia nao da pra nada nem pra gasolina pessimo pessimo demas
115,bom otimo aplicativo muito bom o cartao
116,o limite e muito baixo eu compro adianto as faturas e nao aumentam o meu limitenao recomendo
117,depois dessa atualizacao o aplicativo ficou a desejar esta muito lento nao abre de maneira nenhuma pede senha pra acessar a mesma de desbloqueio do aparelho coloca e nada nao abre nao sai da tela inicial carrega pede pra repetir a senha e nada estou sendo prejudicado antes era lento mae abria perfeitamente o aplicativo gente ageita isso ta horrivel o acesso se pudesse da zero estrelas eu daria era muito melhor a versao antiga ta ruim o acessome ajudem pretendo acessar o aplicativo
118,otimo
119,fiz pedido de um cartao e ate hoje não chegoue eu gostaria de saber o porque
120,otimo
121,aplicativo otimo
122,so vou dar 3 estrelas porque ja tem 2 anos que tenho o aplicativo nubank a 2 anos e meu limite de credito e 50 reais ate hoje nao saiu em um emprestimo
123,excelente
124,pratico agil igual ao agiota aqui do bairro porque rouba igual
125,aplicativo muito facil
126,eu estou gostando muito super facil de usar parabens
127,excelente nada mais a dizer
128,horrivel aprovada com 50 reias de limites 7 mes e eles nao aumenta pago adiantado as parcelas e nada nota zero para nubank o unico banco que aprova com 50 reias de limites uma palhacada mesmo
129,otimo
130,pratico e util e o melhor de graca com meu dinheiro
131,sempre melhorando a plataforma o chat sempre atende com rapidez e disposicao
132,otimo
133,excelente
134,demorar muito pra aprovacao
135,melhor banco simples e rapido merece mais do que 5 estrelas
136,otimo
137,aplicativo otimo
138,o aplicativo e otimo o ruim so que demora muito pra aumentar limite no cartao
139,otimo banco e otimo aplicativo bom pra investimentos você faz tudo por aqui dou 5 estrelas
140,muito bom para mim e o melhor
141,bem pratico e seguro
142,ja tenho uma conta quero muito recuperar minha senha
143,o melhor banco de todos consigo transferir de forma rapida e segura dinheiro cai na hora boletos debitados em ate 2 dias banco perfeito so espero almentar meu limite
144,pouco limite banco mao de vaca vou cancelar
145,quero um cartao de credito
146,ate agora esta sendo excelente
147,estou usando mais vou deixar de usar pois comecei a usar para ver si mi dariam um limite bom e mi deram 50 reais kkkkkkkk chega a ser piada vou voltar ao meu cartao de antes qui e bem melhor o neon nem vou falar o limite qui morderam pra voces nao passarem vergonha achei qui voces eram melhor mais mi enganei tem muitos cartao passando por cima de voces
148,e horrivel limite e baixo e eu pago sempre em dia nunca me deram nem 50 reais de aumento
149,pra mim e o melhor que tem gostei muito
150,porque ainda nao recebi meu cartao roxinho
151,e um cartao incrivel eu nao consigo mais viver sem pago tudo com ele
152,otimo otimo parabens equipe
153,olha o banco e otimo e e o unico que eu utilizo minha reclamacao e sobre o limite de credito tenho mais de um ano com banco e o banco nao aumentou meu limite e venho pagando tudo certo e utilizando o cartao para tudo assim nao da
154,investimentos pesados em tecnologia rendem seus frutos nunca tive problemas com o aplicativo algo raro no mundo dos apps em se tratando de cartao de credito esse deve ser o nivel de excelencia
155,vou dar 3 estrelas pelo os servicos que e bom ta com mais de 3 meses que eu adquirir um cartao e so veio 50 reais de credito eu peco pra aumentar ai fala que eu continue aproveitando os servicodesde quando recebi so uso ele pra fazer tudo menos usar credito nerque nao dar pra nadatou pensando seriamente em cancelarpq os servicos que ele oferece a maioria dos bancos hoje oferece quero e credito aumenta ai meu limite de credito que dou 5 estrela
156,nao consigo ter meu cartao de credito
157,nubank e o melhor banko que ja usei
158,oi bom dia tudo bem que voce que nubank cdb e chaves pix emailcelularescpf conta tem ja voce estranho um so real jogos de ganhar dinheiro real
159,e muito transparente porem nao aumenta o limite nunca
160,excelente recomendacao
161,otimo bem acessivel
162,aplicativo ruim nao ta com nada agente reforma you celular e uma fisqura du cao pra abrir a conta dinov ja ta e com uma semana que eu ja peleigei i nao abriu a conta que raiva viu voces podia nao fazer isso voces saber que a conta e minha ta
163,ate entao ta tudo otimo
164,otimo
165,simples pratico e rapido um otimo banco para quem deseja um cartao sem anuidade
166,otimo
167,otimode presente de aniversario quero meus 1000 reais de limite em kk
168,excepcional melhor que ta tendo
169,o banco e maravilhoso nao tenho do que reclamar principalmente quando o assunto e atendimento o chat email ou ligacao os tres sao perfeitos agora a funcao guardar dinheiro poderia ter a opcao do usuario continuar colocando dinheiro no mesmo cofrinho pra nao precisar ficar fazendo varios pra tirar em datas diferentes seria bem legal e util
170,otimo aplicativo
171,olha software e muito bom mais assim reconhecimento facial muito ruim nao e todo dispositivo movel que tenha camera de reconhecimento facial gera comflito ao estalar o aplicativo poderia ter uma desativacao pelo gmail fora isso otimo aplicativo
172,e sem duvidas o melhor to muito feliz que adicionaram ele no samsung pay
173,melhor e muito facil e simples de manusear
174,melhor banco voces estao de parabens so poderia ter mas opcao de credito para negativos mas gosto da conta
175,nao consigo abrir o aplicativo atualizei e nao sai da parte de desbloquear o aplicativo com a senha do celular coloco e volta pra mesma pagina
176,o aplicativo ta otimo atualizou ficou excelente muito bom aplicativo funcionando todas as funcoes perfeitamente parabens pela atualizacao excelente
177,o melhor banco com certeza nubank gosto muito desse aplicativo desse banco
178,so não dou as 5 estrela porque ja faz bastante tempo que peco limites e nao liberam mesmo movimentando bastante a nuconta e emprestimo meu limite de credito nao aumenta
179,eficaz e eficiente oferecendo oportunidades para quem tem restricao financeira a ter dignidade ou seja uma conta e fazer suas movimentacoes etc parabens nubank excelente banco digital eu recomendo mesmo
180,otimo acho que nao vou me arrepender eu era do pagbank agora sou nu perfeito
181,otimo
182,otimo aplicativo
183,melhor aplicativo digital que existe mas so deixa a desejar por nao ter a maquininha e sao pessimos em liberar credito movimento diariamente minha conta em uso na empresa e quando solicito um credito maior eles nao liberam isso decepsiona
184,excelente aplicativo de facil acesso
185,acho que vou cancelar este cartao pois faz um bom tempo que uso ele e ele so midar 250 de limite 250 não dar pra compra nada outras plataforma dao muito mais muito insatisfeito com este banco
186,excelente banco por favor coloquem seguro de carro
187,o melhor de todos
188,o aplicativo esta oferecendo um pessimo atendimento e com pessimos atendentes o 1 atendente nao sabia me responder nada ai me transferiu para outro atendente que aparentemente me explicaria melhor e esse 2 atendente simplesmente ficou mudo o atendimento inteiro durante 1h e depois quis me transferir para um terceiro atendente ai nao tive outra opcao a nao ser encerra meu atendimento porque nisso ja era 2300h e nada do atendimento acontecer
189,estou usando a quase um mes nada reclamar tudo muito facil rapido e intuitivo tirando a questao dos saques o banco e muito bom edit1 nao e possivel pagar boletos com o cartao de credito
190,o melhor do jogo do brasil
191,otimo appfacil de usar o melhor aplicativo para guardar o dinheiro parabens ao desenvolvedor do aplicativo
192,nao posso dar uma nota melhor por conta deu ainda nao recebido o meu cartao de credito e demorar para mostrar meu dinheiro transferido
193,gostei muito e o cartao e virtual mesmo e tambem pode vir pra casa
194,simples e pratico
195,cartao e bom e otimo mais deveria liberar credito ja faz quase dois anos nunca mais tive almento de credito muito pouco demais
